Day,Title,Source,Status,Verification_URL,Verified
167,"Habakkuk 3: Yet I Will Rejoice in the LORD","Augustine; Confessions 1.1 - Rest in God alone","vague","https://www.newadvent.org/fathers/",NO
168,"Zephaniah 3: The LORD Will Rejoice Over You","Augustine; Sermons 291 - God rejoices over His people","vague","https://www.newadvent.org/fathers/",NO
169,"Haggai 2: The Desired of All Nations","Augustine; City of God XX.11 - Shaking of nations","vague","https://www.newadvent.org/fathers/",NO
169,"Haggai 2: The Desired of All Nations","Augustine; City of God XVIII.48 - Greater glory promised","vague","https://www.newadvent.org/fathers/",NO
169,"Haggai 2: The Desired of All Nations","Origen; On First Principles 3.6 - Christ as desire of nations","vague","https://www.newadvent.org/fathers/",NO
169,"Haggai 2: The Desired of All Nations","Aquinas; Commentary on Hebrews 12 - Unshakeable kingdom","vague","https://www.newadvent.org/fathers/",NO
170,"Song of Songs 2: He Has Taken Me to the Banquet Hall","Origen; Commentary on Song of Songs 2 - Banquet of love","vague","https://www.newadvent.org/fathers/",NO
171,"Song of Songs 5: Open to Me; My Sister","Origen; Commentary on Song of Songs 3 - Bridegroom knocking","vague","https://www.newadvent.org/fathers/",NO
171,"Song of Songs 5: Open to Me; My Sister","Gregory the Great; Morals on Job 5.36 - Divine visitation","vague","https://www.newadvent.org/fathers/",NO
172,"Genesis 18: Abraham's Three Visitors","Augustine; City of God XVI.29 - Trinity manifestation","vague","https://www.newadvent.org/fathers/",NO
173,"Genesis 28: Jacob's Ladder","Origen; Commentary on John 1.23 - Angels ascending on Son of Man","vague","https://www.newadvent.org/fathers/",NO
174,"Genesis 32: Jacob Wrestles with God","Gregory of Nyssa; On Perfection - Perseverance in seeking God","vague","https://www.newadvent.org/fathers/",NO
175,"Exodus 3: I AM WHO I AM","Gregory of Nyssa; On the Life of Moses 2.25 - God's self-revelation","vague","https://www.newadvent.org/fathers/",NO
176,"Exodus 13: Consecrate the Firstborn","Augustine; Sermons 377 - Consecration of firstborn","vague","https://www.newadvent.org/fathers/",NO
177,"Exodus 19: Kingdom of Priests","Augustine; City of God XX.10 - Royal priesthood","vague","https://www.newadvent.org/fathers/",NO
177,"Exodus 19: Kingdom of Priests","Chrysostom; Homilies on 1 Peter - Chosen race and priesthood","vague","https://www.newadvent.org/fathers/",NO
179,"Exodus 29: Wave Offering Before the LORD","Augustine; City of God X.6 - True sacrifice to God","vague","https://www.newadvent.org/fathers/",NO
179,"Exodus 29: Wave Offering Before the LORD","Irenaeus; Against Heresies 4.18 - Eucharist as wave offering","vague","https://www.newadvent.org/fathers/",NO
180,"Exodus 30: Altar of Incense","Origen; On Prayer 31 - Perpetual prayer like incense","vague","https://www.newadvent.org/fathers/",NO
183,"Numbers 6: The Aaronic Blessing","Augustine; Sermons 363 - Lord's face shines on us","vague","https://www.newadvent.org/fathers/",NO
184,"Numbers 9: The Cloud Over the Tabernacle","Exodus 40:34-38 fulfilled in Luke 1:35 per Ambrose","vague","https://www.newadvent.org/fathers/",NO
184,"Numbers 9: The Cloud Over the Tabernacle","Augustine; Sermons 215 - Cloud of glory","vague","https://www.newadvent.org/fathers/",NO
184,"Numbers 9: The Cloud Over the Tabernacle","Gregory of Nyssa; On the Life of Moses 2.243 - Following the cloud","vague","https://www.newadvent.org/fathers/",NO
186,"Numbers 18: Offerings Belong to Priests","Augustine; City of God X.6 - Priestly offerings","vague","https://www.newadvent.org/fathers/",NO
186,"Numbers 18: Offerings Belong to Priests","Chrysostom; On the Priesthood 3.4 - Sacred offerings","vague","https://www.newadvent.org/fathers/",NO
187,"Deuteronomy 8: Man Does Not Live on Bread Alone","Augustine; Harmony of the Gospels 2.16 - Word sustains","vague","https://www.newadvent.org/fathers/",NO
187,"Deuteronomy 8: Man Does Not Live on Bread Alone","Origen; On Prayer 27 - God's word as food","vague","https://www.newadvent.org/fathers/",NO
188,"Deuteronomy 18: A Prophet Like Moses","Origen; Commentary on John 1.17 - Greater than Moses","vague","https://www.newadvent.org/fathers/",NO
189,"Joshua 5: Commander of the LORD's Army","Augustine; City of God XVII.4 - Angel of the Lord","vague","https://www.newadvent.org/fathers/",NO
190,"Judges 6: Gideon's Offering Consumed","Judges 6:20-21 as theophany per Augustine","vague","https://www.newadvent.org/fathers/",NO
191,"Judges 13: Samson's Birth Announced","Augustine; City of God XVIII.19 - Samson as type","vague","https://www.newadvent.org/fathers/",NO
192,"1 Samuel 1: Hannah's Prayer","Augustine; Sermons 372 - Hannah's faith","vague","https://www.newadvent.org/fathers/",NO
192,"1 Samuel 1: Hannah's Prayer","Origen; Homilies on 1 Samuel 1 - Power of prayer","vague","https://www.newadvent.org/fathers/",NO
192,"1 Samuel 1: Hannah's Prayer","Chrysostom; On Prayer - Hannah's persistence","vague","https://www.newadvent.org/fathers/",NO
193,"1 Samuel 16: The LORD Looks at the Heart","Gregory the Great; Pastoral Rule 1.11 - God sees within","vague","https://www.newadvent.org/fathers/",NO
194,"1 Samuel 17: David and Goliath","1 Samuel 17 as type of Christ's victory per Augustine","vague","https://www.newadvent.org/fathers/",NO
194,"1 Samuel 17: David and Goliath","Augustine; City of God XVII.4 - Victory over evil","vague","https://www.newadvent.org/fathers/",NO
194,"1 Samuel 17: David and Goliath","Gregory the Great; Morals on Job 33.12 - Defeating the giant","vague","https://www.newadvent.org/fathers/",NO
194,"1 Samuel 17: David and Goliath","Origen; Homilies on 1 Samuel - Stone strikes head of serpent","vague","https://www.newadvent.org/fathers/",NO
195,"2 Samuel 7: Your House Will Endure Forever","Augustine; City of God XVII.8 - Eternal kingdom","vague","https://www.newadvent.org/fathers/",NO
195,"2 Samuel 7: Your House Will Endure Forever","Irenaeus; Against Heresies 3.21 - Throne of David","vague","https://www.newadvent.org/fathers/",NO
196,"1 Kings 17: Widow's Flour and Oil","Augustine; Sermons 88.14 - Widow's faith","vague","https://www.newadvent.org/fathers/",NO
197,"1 Kings 19: The Still Small Voice","Augustine; Confessions 9.10 - Interior silence","vague","https://www.newadvent.org/fathers/",NO
197,"1 Kings 19: The Still Small Voice","Gregory the Great; Morals on Job 23.19 - Gentle whisper","vague","https://www.newadvent.org/fathers/",NO
198,"Job 19: My Redeemer Lives","Job 19:25-27 as messianic hope per Jerome","vague","https://www.newadvent.org/fathers/",NO
198,"Job 19: My Redeemer Lives","Augustine; City of God XX.20 - Resurrection hope","vague","https://www.newadvent.org/fathers/",NO
198,"Job 19: My Redeemer Lives","Aquinas; Commentary on Job 19 - Living Redeemer","vague","https://www.newadvent.org/fathers/",NO
198,"Job 19: My Redeemer Lives","Gregory the Great; Morals on Job 14.56 - Christ as Redeemer","vague","https://www.newadvent.org/fathers/",NO
198,"Job 19: My Redeemer Lives","Origen; Commentary on Job - Resurrection faith","vague","https://www.newadvent.org/fathers/",NO
199,"Ecclesiastes 3: A Time for Everything","Augustine; City of God V.8 - Times in God's hands","vague","https://www.newadvent.org/fathers/",NO
199,"Ecclesiastes 3: A Time for Everything","Gregory of Nyssa; On Ecclesiastes 3 - Seasons of life","vague","https://www.newadvent.org/fathers/",NO
199,"Ecclesiastes 3: A Time for Everything","Augustine; City of God XVII.20 - Time appointed by God","vague","https://www.newadvent.org/fathers/",NO
200,"Psalm 23: The LORD is My Shepherd","Aquinas; Commentary on Psalms 23 - Lord guides His flock","vague","https://www.newadvent.org/fathers/",NO
200,"Psalm 23: The LORD is My Shepherd","Gregory the Great; Pastoral Rule 2.5 - Model of shepherding","vague","https://www.newadvent.org/fathers/",NO
201,"Psalm 27: One Thing I Ask","Gregory of Nyssa; Life of Moses - Vision of God's beauty","vague","https://www.newadvent.org/fathers/",NO
202,"Psalm 42: My Soul Thirsts for God","Augustine; Confessions 1.1 - Restless until rest in God","vague","https://www.newadvent.org/fathers/",NO
202,"Psalm 42: My Soul Thirsts for God","Aquinas; Commentary on Psalms 42 - Soul's desire for God","vague","https://www.newadvent.org/fathers/",NO
204,"Psalm 95: Come; Let Us Bow Down","Chrysostom; On the Priesthood 6.4 - Reverence in worship","vague","https://www.newadvent.org/fathers/",NO
207,"Psalm 141: My Prayers Like Incense","Aquinas; Commentary on Psalms 141 - Sweet odor to God","vague","https://www.newadvent.org/fathers/",NO
207,"Psalm 141: My Prayers Like Incense","Origen; On Prayer 2 - Incense of intercession","vague","https://www.newadvent.org/fathers/",NO
208,"Psalm 147: He Provides Food","Cyprian; On the Lord's Prayer 18 - Daily bread petition","vague","https://www.newadvent.org/fathers/",NO
209,"Daniel 3: The Fourth Man in the Fire","Augustine; City of God XV.26 - Angel of the Lord protects","vague","https://www.newadvent.org/fathers/",NO
210,"Daniel 7: Son of Man on the Clouds","Irenaeus; Against Heresies 4.20.11 - Son of Man receives kingdom","vague","https://www.newadvent.org/fathers/",NO
210,"Daniel 7: Son of Man on the Clouds","Augustine; City of God XX.23 - Coming on clouds","vague","https://www.newadvent.org/fathers/",NO
210,"Daniel 7: Son of Man on the Clouds","Origen; Commentary on Matthew 24 - Son of Man in glory","vague","https://www.newadvent.org/fathers/",NO
211,"Daniel 9: Seventy Sevens Decreed","Augustine; City of God XVIII.46 - Seventy weeks explained","vague","https://www.newadvent.org/fathers/",NO
211,"Daniel 9: Seventy Sevens Decreed","Augustine; City of God XVIII.33 - Time of Christ's coming","vague","https://www.newadvent.org/fathers/",NO
211,"Daniel 9: Seventy Sevens Decreed","Origen; Commentary on Matthew 14.14 - Prophetic timeline","vague","https://www.newadvent.org/fathers/",NO
212,"Daniel 12: Many Will Be Purified","Augustine; City of God XX.21 - Resurrection glory","vague","https://www.newadvent.org/fathers/",NO
212,"Daniel 12: Many Will Be Purified","Aquinas; ST Suppl.; q. 86; a. 1 - Bodies shine like stars","vague","https://www.newadvent.org/fathers/",NO
212,"Daniel 12: Many Will Be Purified","Augustine; City of God XX.23 - Resurrection to eternal life","vague","https://www.newadvent.org/fathers/",NO
213,"Jonah 2: Three Days and Nights","Augustine; Letter 102.6 - Three days in tomb","vague","https://www.newadvent.org/fathers/",NO
214,"Tobit 12: Prayer and Fasting Are Good","Cyprian; On Works and Alms - Remedies for sin","vague","https://www.newadvent.org/fathers/",NO
215,"1 Maccabees 1: Desecration of the Temple","Augustine; City of God XVIII.36 - Temple profaned","vague","https://www.newadvent.org/fathers/",NO
215,"1 Maccabees 1: Desecration of the Temple","Augustine; City of God XX.19 - Types of Antichrist","vague","https://www.newadvent.org/fathers/",NO
215,"1 Maccabees 1: Desecration of the Temple","Origen; Commentary on Matthew 24 - Temple destruction","vague","https://www.newadvent.org/fathers/",NO
216,"1 Maccabees 4: Rededication of the Temple","Origen; Commentary on John 13 - Rededication fulfilled in Christ","vague","https://www.newadvent.org/fathers/",NO
216,"1 Maccabees 4: Rededication of the Temple","Augustine; City of God XVIII.36 - Rededication of temple","vague","https://www.newadvent.org/fathers/",NO
217,"Baruch 3: Who Has Found Wisdom?","Augustine; City of God XI.2 - Wisdom of God incarnate","vague","https://www.newadvent.org/fathers/",NO
217,"Baruch 3: Who Has Found Wisdom?","Irenaeus; Against Heresies 4.20.4 - Wisdom revealed in Son","vague","https://www.newadvent.org/fathers/",NO
219,"Sirach 15: The Fear of the LORD","Augustine; Sermons 347 - Wisdom nourishes with bread","vague","https://www.newadvent.org/fathers/",NO
219,"Sirach 15: The Fear of the LORD","Gregory the Great; Morals on Job 1.32 - Sevenfold Spirit","vague","https://www.newadvent.org/fathers/",NO
220,"Sirach 24: Wisdom's Self-Praise","Origen; Commentary on John 1.34 - Wisdom tabernacles","vague","https://www.newadvent.org/fathers/",NO
220,"Sirach 24: Wisdom's Self-Praise","Augustine; Confessions 7.9 - Wisdom calls from above","vague","https://www.newadvent.org/fathers/",NO
221,"Sirach 35: The Sacrifice of the Righteous","Augustine; City of God X.6 - True sacrifice","vague","https://www.newadvent.org/fathers/",NO
221,"Sirach 35: The Sacrifice of the Righteous","Cyprian; On the Lord's Prayer 31 - Mercy as sacrifice","vague","https://www.newadvent.org/fathers/",NO
222,"Judith 8: Judith's Prayer and Fast","Augustine; City of God XVIII.26 - Judith saves people","vague","https://www.newadvent.org/fathers/",NO
222,"Judith 8: Judith's Prayer and Fast","Origen; Homilies on Judith - Prayer and fasting together","vague","https://www.newadvent.org/fathers/",NO
222,"Judith 8: Judith's Prayer and Fast","Chrysostom; On Prayer - Fasting strengthens prayer","vague","https://www.newadvent.org/fathers/",NO
223,"Judith 13: Judith Beheads Holofernes","Ambrose; Letters 63.33 - Judith type of Church","vague","https://www.newadvent.org/fathers/",NO
223,"Judith 13: Judith Beheads Holofernes","Augustine; Sermons 108 - Woman defeats enemy","vague","https://www.newadvent.org/fathers/",NO
224,"1 Kings 8: Solomon's Temple Dedication","Augustine; City of God XVII.20 - Solomon's prayer","vague","https://www.newadvent.org/fathers/",NO
224,"1 Kings 8: Solomon's Temple Dedication","Origen; Homilies on 1 Kings 1 - Temple of the Holy Spirit","vague","https://www.newadvent.org/fathers/",NO
225,"2 Kings 4: Elisha Multiplies Bread","Origen; Commentary on Matthew 11.3 - Bread multiplication typology","vague","https://www.newadvent.org/fathers/",NO
226,"2 Chronicles 30: Hezekiah's Passover","Augustine; Questions on 2 Chronicles - Mercy covers ritual defects","vague","https://www.newadvent.org/fathers/",NO
227,"Proverbs 8: Wisdom Calls Out","Augustine; On the Trinity 1.12 - Wisdom begotten not made","vague","https://www.newadvent.org/fathers/",NO
227,"Proverbs 8: Wisdom Calls Out","Origen; On First Principles 1.2.2 - Wisdom of God","vague","https://www.newadvent.org/fathers/",NO
228,"Proverbs 30: Give Me Neither Poverty Nor Riches","Augustine; Sermons 311 - Contentment in necessities","vague","https://www.newadvent.org/fathers/",NO
229,"Ezekiel 2: Eat This Scroll","Augustine; Confessions 9.10 - Tasting God's word","vague","https://www.newadvent.org/fathers/",NO
229,"Ezekiel 2: Eat This Scroll","Gregory the Great; Morals on Job 19.12 - Word sweeter than honey","vague","https://www.newadvent.org/fathers/",NO
230,"Ezekiel 34: I Myself Will Shepherd","Gregory the Great; Pastoral Rule 2.5 - Shepherd cares for flock","vague","https://www.newadvent.org/fathers/",NO
231,"Ezekiel 36: A New Heart and New Spirit","Augustine; On Grace and Free Will 31 - God creates new heart","vague","https://www.newadvent.org/fathers/",NO
232,"Ezekiel 37: Valley of Dry Bones","Augustine; City of God XX.23 - Resurrection prophecy","vague","https://www.newadvent.org/fathers/",NO
232,"Ezekiel 37: Valley of Dry Bones","Aquinas; ST Suppl.; q. 75; a. 1 - Bodies will rise","vague","https://www.newadvent.org/fathers/",NO
232,"Ezekiel 37: Valley of Dry Bones","Augustine; City of God XX.23 - Valley of dry bones","vague","https://www.newadvent.org/fathers/",NO
233,"Ezekiel 43: Glory Returns to Temple","Augustine; City of God XVII.4 - Glory in new temple","vague","https://www.newadvent.org/fathers/",NO
233,"Ezekiel 43: Glory Returns to Temple","Gregory of Nyssa; Against Eunomius 3.3 - Divine indwelling","vague","https://www.newadvent.org/fathers/",NO
234,"Ezekiel 44: Gate Kept Shut","Augustine; Sermons 192 - Gate remained closed","vague","https://www.newadvent.org/fathers/",NO
235,"Ezekiel 47: River from the Temple","Origen; Commentary on John 13 - Living water from temple","vague","https://www.newadvent.org/fathers/",NO
236,"2 Samuel 9: Mephibosheth at the King's Table","Origen; Homilies on 2 Samuel - Mercy shown to unworthy","vague","https://www.newadvent.org/fathers/",NO
237,"1 Kings 18: Fire from Heaven","Augustine; Sermons 6 - Fire consumes sacrifice","vague","https://www.newadvent.org/fathers/",NO
237,"1 Kings 18: Fire from Heaven","Ambrose; On Elijah and Fasting - Prophet's boldness","vague","https://www.newadvent.org/fathers/",NO
239,"2 Kings 6: Elisha Feeds the Hundred","Origen; Commentary on Matthew 11.3 - Bread multiplication","vague","https://www.newadvent.org/fathers/",NO
240,"Leviticus 6: The Fire Must Never Go Out","Augustine; City of God X.5 - Continual sacrifice","vague","https://www.newadvent.org/fathers/",NO
241,"Leviticus 24: The Bread of the Presence","Augustine; Questions on the Heptateuch - Sacred bread","vague","https://www.newadvent.org/fathers/",NO
242,"Numbers 28: Daily Burnt Offerings","Augustine; City of God X.5 - Christian sacrifice","vague","https://www.newadvent.org/fathers/",NO
242,"Numbers 28: Daily Burnt Offerings","Irenaeus; Against Heresies 4.17.5 - Church's oblation","vague","https://www.newadvent.org/fathers/",NO
246,"Joshua 24: Choose Whom You Will Serve","Augustine; City of God XIV.11 - Two loves; two cities","vague","https://www.newadvent.org/fathers/",NO
247,"Judges 7: Gideon's Three Hundred","Augustine; City of God XVII.4 - Victory through few","vague","https://www.newadvent.org/fathers/",NO
247,"Judges 7: Gideon's Three Hundred","Gregory the Great; Morals on Job 34.10 - Small numbers prevail","vague","https://www.newadvent.org/fathers/",NO
248,"1 Samuel 21: David Eats the Holy Bread","Augustine; Questions on the Gospels 2.4 - Sacred bread","vague","https://www.newadvent.org/fathers/",NO
248,"1 Samuel 21: David Eats the Holy Bread","Origen; Commentary on Matthew 10.14 - Mercy over sacrifice","vague","https://www.newadvent.org/fathers/",NO
249,"2 Samuel 6: Bringing the Ark to Jerusalem","Augustine; Sermons 372 - Mary as ark","vague","https://www.newadvent.org/fathers/",NO
250,"2 Samuel 24: David Buys the Threshing Floor","Augustine; City of God XVII.20 - Site of sacrifice","vague","https://www.newadvent.org/fathers/",NO
251,"1 Kings 3: Solomon's Wisdom","Augustine; City of God XVII.20 - Solomon prefigures Christ","vague","https://www.newadvent.org/fathers/",NO
251,"1 Kings 3: Solomon's Wisdom","Origen; Commentary on Matthew 17 - Greater Wisdom","vague","https://www.newadvent.org/fathers/",NO
252,"1 Chronicles 21: The Angel at the Threshing Floor","Augustine; City of God XVII.8 - Site of sacrifice","vague","https://www.newadvent.org/fathers/",NO
252,"1 Chronicles 21: The Angel at the Threshing Floor","Origen; Commentary on Matthew 126 - Place of the skull","vague","https://www.newadvent.org/fathers/",NO
253,"Psalm 36: Abundance of Your House","Aquinas; Commentary on John 7 - Abundance from Christ","vague","https://www.newadvent.org/fathers/",NO
253,"Psalm 36: Abundance of Your House","Origen; Commentary on John 13 - River of delight","vague","https://www.newadvent.org/fathers/",NO
254,"Psalm 43: Send Me Your Light","Origen; Commentary on John 1 - True light","vague","https://www.newadvent.org/fathers/",NO
256,"Psalm 51: Create in Me a Pure Heart","Chrysostom; On Repentance 8 - Broken and contrite heart","vague","https://www.newadvent.org/fathers/",NO
257,"Psalm 73: Whom Have I in Heaven but You?","Augustine; Confessions 1.1 - Heart restless until rest in God","vague","https://www.newadvent.org/fathers/",NO
258,"Psalm 81: Open Wide Your Mouth","Cyprian; On the Lord's Prayer 1 - God gives to those who ask","vague","https://www.newadvent.org/fathers/",NO
259,"Psalm 87: Glorious Things Are Said","Augustine; City of God passim - City of God theme","vague","https://www.newadvent.org/fathers/",NO
259,"Psalm 87: Glorious Things Are Said","Aquinas; Commentary on Psalms 87 - Zion is Church","vague","https://www.newadvent.org/fathers/",NO
259,"Psalm 87: Glorious Things Are Said","Origen; Commentary on Romans 9 - Spiritual Zion","vague","https://www.newadvent.org/fathers/",NO
261,"Psalm 104: He Makes Springs Pour Water","Ambrose; Hexaemeron - Creation displays God's wisdom","vague","https://www.newadvent.org/fathers/",NO
262,"Psalm 105: Remember His Covenant","Aquinas; Commentary on Psalms 105 - God remembers covenant","vague","https://www.newadvent.org/fathers/",NO
264,"Psalm 111: He Provides Food","Cyprian; On the Lord's Prayer 18 - Daily sustenance","vague","https://www.newadvent.org/fathers/",NO
266,"Isaiah 1: Your Sacrifices Are Meaningless","Augustine; City of God X.5 - True sacrifice is contrite heart","vague","https://www.newadvent.org/fathers/",NO
266,"Isaiah 1: Your Sacrifices Are Meaningless","Origen; Commentary on Matthew 11 - Spirit of law","vague","https://www.newadvent.org/fathers/",NO
267,"Isaiah 4: The Branch of the LORD","Origen; Commentary on John 1 - Branch bears fruit","vague","https://www.newadvent.org/fathers/",NO
268,"Isaiah 6: Holy; Holy; Holy","Augustine; City of God X.7 - Angelic praise","vague","https://www.newadvent.org/fathers/",NO
268,"Isaiah 6: Holy; Holy; Holy","Origen; On First Principles 1.3 - Seraphim's song","vague","https://www.newadvent.org/fathers/",NO
269,"Isaiah 8: The LORD Will Be a Sanctuary","Aquinas; Commentary on Romans 9 - Stumbling stone","vague","https://www.newadvent.org/fathers/",NO
269,"Isaiah 8: The LORD Will Be a Sanctuary","Cyprian; Testimonies 2.16 - Stone for faithful; stumbling for others","vague","https://www.newadvent.org/fathers/",NO
269,"Isaiah 8: The LORD Will Be a Sanctuary","Irenaeus; Against Heresies 4.33 - Two houses","vague","https://www.newadvent.org/fathers/",NO
270,"Isaiah 10: A Remnant Will Return","Augustine; City of God XVIII.28 - Holy remnant","vague","https://www.newadvent.org/fathers/",NO
270,"Isaiah 10: A Remnant Will Return","Aquinas; Commentary on Romans 9 - Remnant according to grace","vague","https://www.newadvent.org/fathers/",NO
270,"Isaiah 10: A Remnant Will Return","Origen; Commentary on Romans 7 - Faithful few","vague","https://www.newadvent.org/fathers/",NO
270,"Isaiah 10: A Remnant Will Return","Augustine; City of God XVII.4 - Remnant shall return","vague","https://www.newadvent.org/fathers/",NO
271,"Isaiah 11: A Shoot from Jesse's Stump","Augustine; City of God XVIII.35 - Rod from Jesse","vague","https://www.newadvent.org/fathers/",NO
271,"Isaiah 11: A Shoot from Jesse's Stump","Origen; Commentary on Romans 9 - Root and offspring","vague","https://www.newadvent.org/fathers/",NO
272,"Isaiah 12: Draw Water from Wells of Salvation","Origen; Commentary on John 13 - Living water","vague","https://www.newadvent.org/fathers/",NO
273,"Isaiah 22: A Peg in a Firm Place","Augustine; Sermons 295 - Keys of authority","vague","https://www.newadvent.org/fathers/",NO
273,"Isaiah 22: A Peg in a Firm Place","Aquinas; ST Suppl.; q. 19; a. 3 - Power of keys","vague","https://www.newadvent.org/fathers/",NO
274,"Isaiah 24: The New Wine Dries Up","Augustine; City of God XX.11 - Final tribulation","vague","https://www.newadvent.org/fathers/",NO
274,"Isaiah 24: The New Wine Dries Up","Aquinas; ST Suppl.; q. 73; a. 1 - Signs before judgment","vague","https://www.newadvent.org/fathers/",NO
274,"Isaiah 24: The New Wine Dries Up","Augustine; City of God XX.14 - Final judgment","vague","https://www.newadvent.org/fathers/",NO
274,"Isaiah 24: The New Wine Dries Up","Origen; On First Principles 3.6 - End times","vague","https://www.newadvent.org/fathers/",NO
275,"Isaiah 27: The Fruitful Vineyard","Aquinas; Commentary on John 15 - Christ as vine","vague","https://www.newadvent.org/fathers/",NO
275,"Isaiah 27: The Fruitful Vineyard","Origen; Commentary on John 1 - True vineyard","vague","https://www.newadvent.org/fathers/",NO
275,"Isaiah 27: The Fruitful Vineyard","Cyprian; Letters 75.15 - Lord's vineyard","vague","https://www.newadvent.org/fathers/",NO
276,"Isaiah 29: Deep But Not from Me","Augustine; Sermons 32 - Heart far from God","vague","https://www.newadvent.org/fathers/",NO
276,"Isaiah 29: Deep But Not from Me","Origen; Commentary on Matthew 11 - Vain worship","vague","https://www.newadvent.org/fathers/",NO
277,"Isaiah 30: Bread of Adversity","Augustine; Confessions 8.5 - Suffering purifies","vague","https://www.newadvent.org/fathers/",NO
277,"Isaiah 30: Bread of Adversity","Gregory the Great; Morals on Job 6.17 - Trials as teacher","vague","https://www.newadvent.org/fathers/",NO
278,"Isaiah 32: The Effect of Righteousness","Augustine; City of God XIX.27 - Peace from righteousness","vague","https://www.newadvent.org/fathers/",NO
278,"Isaiah 32: The Effect of Righteousness","Origen; On First Principles 1.3 - Work of the Spirit","vague","https://www.newadvent.org/fathers/",NO
278,"Isaiah 32: The Effect of Righteousness","Origen; Commentary on Romans 3 - Righteousness from faith","vague","https://www.newadvent.org/fathers/",NO
279,"Isaiah 33: Your Eyes Will See the King","Augustine; City of God XXII.29 - Vision of God","vague","https://www.newadvent.org/fathers/",NO
279,"Isaiah 33: Your Eyes Will See the King","Gregory of Nyssa; Life of Moses - Seeing the invisible","vague","https://www.newadvent.org/fathers/",NO
280,"Isaiah 37: The Zeal of the LORD","Aquinas; Commentary on John 2 - Holy zeal","vague","https://www.newadvent.org/fathers/",NO
280,"Isaiah 37: The Zeal of the LORD","Origen; Commentary on John 10 - Zealous love","vague","https://www.newadvent.org/fathers/",NO
281,"Isaiah 38: Hezekiah's Healing","Augustine; Sermons 87 - Healing prefigures salvation","vague","https://www.newadvent.org/fathers/",NO
282,"Isaiah 41: Do Not Fear; I Am with You","Origen; Commentary on Matthew 17 - God's presence","vague","https://www.newadvent.org/fathers/",NO
283,"Isaiah 43: I Have Called You by Name","Aquinas; Commentary on John 10 - Personal calling","vague","https://www.newadvent.org/fathers/",NO
283,"Isaiah 43: I Have Called You by Name","Origen; Commentary on John 1 - Names in heaven","vague","https://www.newadvent.org/fathers/",NO
284,"Isaiah 44: I Have Made You","Augustine; Confessions 1.6 - Created by God","vague","https://www.newadvent.org/fathers/",NO
284,"Isaiah 44: I Have Made You","Gregory of Nyssa; On the Making of Man - Human dignity","vague","https://www.newadvent.org/fathers/",NO
286,"Isaiah 48: For My Own Sake","Augustine; City of God V.11 - God's glory","vague","https://www.newadvent.org/fathers/",NO
286,"Isaiah 48: For My Own Sake","Origen; On First Principles 1.3 - God's honor","vague","https://www.newadvent.org/fathers/",NO
286,"Isaiah 48: For My Own Sake","Irenaeus; Against Heresies 4.20 - Glory of God is man alive","vague","https://www.newadvent.org/fathers/",NO
287,"Isaiah 51: Awake; Awake; Clothe Yourself","Augustine; Sermons 375 - Awake from slumber","vague","https://www.newadvent.org/fathers/",NO
287,"Isaiah 51: Awake; Awake; Clothe Yourself","Origen; Commentary on Romans 10 - Spiritual awakening","vague","https://www.newadvent.org/fathers/",NO
287,"Isaiah 51: Awake; Awake; Clothe Yourself","Augustine; City of God XVII.16 - Comfort of Zion","vague","https://www.newadvent.org/fathers/",NO
288,"Isaiah 52: How Beautiful on the Mountains","Aquinas; Commentary on Romans 10 - Preachers sent","vague","https://www.newadvent.org/fathers/",NO
289,"Isaiah 56: My House a House of Prayer","Aquinas; Commentary on Matthew 21 - Temple cleansing","vague","https://www.newadvent.org/fathers/",NO
289,"Isaiah 56: My House a House of Prayer","Augustine; City of God XX.5 - Gentiles included","vague","https://www.newadvent.org/fathers/",NO
290,"Isaiah 58: Is Not This the Kind of Fasting?","Augustine; Sermons 208 - True fast is mercy","vague","https://www.newadvent.org/fathers/",NO
291,"Isaiah 60: Arise; Shine","Augustine; Sermons 185 - Light has dawned","vague","https://www.newadvent.org/fathers/",NO
291,"Isaiah 60: Arise; Shine","Augustine; City of God XX.21 - Light of the nations","vague","https://www.newadvent.org/fathers/",NO
292,"Isaiah 65: Before They Call; I Will Answer","Augustine; Confessions 1.1 - God knew us first","vague","https://www.newadvent.org/fathers/",NO
292,"Isaiah 65: Before They Call; I Will Answer","Origen; On Prayer 14 - God knows our needs","vague","https://www.newadvent.org/fathers/",NO
293,"Isaiah 66: Heaven is My Throne","Augustine; Confessions 1.2 - God fills all","vague","https://www.newadvent.org/fathers/",NO
293,"Isaiah 66: Heaven is My Throne","Origen; On Prayer 23 - God's immensity","vague","https://www.newadvent.org/fathers/",NO
294,"Jeremiah 15: Your Words Were Found","Augustine; Confessions 8.12 - Sweetness of Scripture","vague","https://www.newadvent.org/fathers/",NO
294,"Jeremiah 15: Your Words Were Found","Gregory the Great; Morals on Job 19.12 - Savoring Scripture","vague","https://www.newadvent.org/fathers/",NO
295,"Jeremiah 23: A Righteous Branch","Augustine; City of God XVII.8 - Davidic promise","vague","https://www.newadvent.org/fathers/",NO
295,"Jeremiah 23: A Righteous Branch","Origen; Commentary on Matthew 1 - Genealogy fulfilled","vague","https://www.newadvent.org/fathers/",NO
296,"Jeremiah 31: A New Covenant","Origen; Commentary on Romans 3 - Law written within","vague","https://www.newadvent.org/fathers/",NO
